2020/10/5,2330,34:37.0,1,5,5,0,0,428,1572,428,83,427.5,7,427,43,426.5,22,426,48,428.5,1,429,24,429.5,1,430,37,430.5,7
2020/10/5,2330,34:42.0,1,5,5,0,0,428,1647,428,15,427.5,7,427,43,426.5,22,426,49,428.5,1,429,24,429.5,1,430,37,430.5,7
2020/10/5,2330,34:47.1,1,5,5,0,0,428,1664,428,68,427.5,7,427,43,426.5,22,426,50,428.5,1,429,24,429.5,1,430,37,430.5,7
2020/10/5,2330,34:52.1,1,5,5,0,0,428,1668,428,65,427.5,7,427,43,426.5,22,426,50,428.5,1,429,24,429.5,1,430,37,430.5,7
2020/10/5,2330,34:57.1,1,5,5,0,0,428,1691,428,72,427.5,7,427,42,426.5,22,426,50,428.5,1,429,24,429.5,1,430,38,430.5,7
2020/10/5,2330,35:02.1,1,5,5,0,0,428,1743,428,95,427.5,8,427,42,426.5,22,426,50,428.5,1,429,24,429.5,1,430,38,430.5,7
2020/10/5,2330,35:07.1,1,5,5,0,0,428,1770,428,88,427.5,8,427,42,426.5,22,426,50,428.5,1,429,24,429.5,1,430,37,430.5,7
2020/10/5,2330,35:12.2,1,5,5,0,0,428,1793,428,91,427.5,10,427,42,426.5,22,426,50,428.5,491,429,24,429.5,1,430,37,430.5,7
2020/10/5,2330,35:17.2,1,5,5,0,0,428,1798,428,127,427.5,10,427,42,426.5,22,426,51,428.5,491,429,24,429.5,1,430,37,430.5,7
2020/10/5,2330,35:22.2,1,5,5,0,0,428,1811,428,143,427.5,10,427,42,426.5,22,426,51,428.5,491,429,24,429.5,1,430,37,430.5,7
2020/10/5,2330,35:27.2,1,5,5,0,0,428,1854,428,140,427.5,10,427,42,426.5,22,426,56,428.5,491,429,171,429.5,1,430,37,430.5,7
2020/10/5,2330,35:32.2,1,5,5,0,0,428,1867,428,128,427.5,10,427,44,426.5,22,426,56,428.5,491,429,171,429.5,1,430,37,430.5,7
2020/10/5,2330,35:37.3,1,5,5,0,0,428,1871,428,124,427.5,10,427,44,426.5,22,426,57,428.5,491,429,171,429.5,1,430,37,430.5,7
2020/10/5,2330,35:42.3,1,5,5,0,0,428,1877,428,134,427.5,10,427,44,426.5,22,426,57,428.5,491,429,171,429.5,1,430,37,430.5,7
